DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:268); Sending request: POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1[\r][\n]"
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1[\r][\n]"
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "User-Agent: Solr[org.apache.solr.client.solrj.impl.HttpSolrServer] 1.0[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "User-Agent: Solr[org.apache.solr.client.solrj.impl.HttpSolrServer] 1.0[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Content-Type: application/javabin[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Content-Type: application/javabin[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Transfer-Encoding: chunked[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Transfer-Encoding: chunked[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Host: 192.168.196.141:8984[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Host: 192.168.196.141:8983[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Connection: Keep-Alive[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Connection: Keep-Alive[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:272); >> POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:272); >> POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> User-Agent: Solr[org.apache.solr.client.solrj.impl.HttpSolrServer] 1.0
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> User-Agent: Solr[org.apache.solr.client.solrj.impl.HttpSolrServer] 1.0
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Content-Type: application/javabin
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Transfer-Encoding: chunked
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Content-Type: application/javabin
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Host: 192.168.196.141:8984
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Transfer-Encoding: chunked
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Connection: Keep-Alive
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Host: 192.168.196.141:8983
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:275); >> Connection: Keep-Alive
DEBUG - 2014-12-04 17:50:38.987; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "84[\r][\n]"
